hgnc	Prediction
ADAP2	Nucleus
ADARB1	Nucleus
ADAT1	Nucleus
ADCK2	Mitochondrion
ADCY1	Cell_membrane
ADCY2	Cell_membrane
ADCY3	Cell_membrane
ADCY5	Cell_membrane
ADCY6	Cell_membrane
ADCY7	Cell_membrane
ADCY8	Cell_membrane
ADCY9	Cell_membrane
ADCYAP1	Extracellular
ADCYAP1R1	Cell_membrane
ADD3	Nucleus
ADGB	Cytoplasm
ADGRA1	Cell_membrane
ADGRB1	Cell_membrane
ADGRB2	Cell_membrane
ADGRD1	Cell_membrane
ADGRE1	Cell_membrane
ADGRE2	Cell_membrane
ADGRE5	Cell_membrane
ADGRF2	Cell_membrane
ADGRF3	Cell_membrane
ADGRF4	Cell_membrane
ADGRF5	Cell_membrane
ADGRG1	Cell_membrane
ADGRG2	Cell_membrane
ADGRG3	Cell_membrane
ADGRG4	Cell_membrane
ADGRG5	Cell_membrane
ADGRG6	Cell_membrane
ADGRG7	Cell_membrane
ADGRL1	Cell_membrane
ADGRL2	Cell_membrane
ADGRL4	Cell_membrane
ADH1A	Cytoplasm
ADH1C	Cytoplasm
ADH5	Peroxisome
ADH7	Cytoplasm
ADIG	Extracellular
ADIPOQ	Extracellular
ADIPOR1	Cell_membrane
ADIPOR2	Cell_membrane
ADIRF	Cytoplasm
ADK	Cytoplasm
ADM	Extracellular
ADM2	Extracellular
ADM5	Extracellular
ADNP	Nucleus
ADNP2	Nucleus
ADO	Mitochondrion
ADORA1	Cell_membrane
ADORA2A	Cell_membrane
ADORA2B	Cell_membrane
ADORA3	Cell_membrane
ADPRH	Peroxisome
ADPRHL2	Mitochondrion
ADPRM	Cytoplasm
ADRA1A	Cell_membrane
ADRA1B	Cell_membrane
ADRA1D	Cell_membrane
ADRA2B	Cell_membrane
ADRA2C	Cell_membrane
ADRB2	Cell_membrane
ADRB3	Cell_membrane
ADRM1	Nucleus
ADSL	Cytoplasm
ADSS	Cytoplasm
ADTRP	Endoplasmic_reticulum
AEBP2	Nucleus
AEN	Nucleus
AES	Nucleus
AFAP1	Nucleus
AFAP1L1	Nucleus
AFAP1L2	Cytoplasm
AFDN	Cytoplasm
AFF1	Nucleus
AFF2	Nucleus
AFG1L	Mitochondrion
AFG3L2	Mitochondrion
AFM	Extracellular
AFMID	Cytoplasm
AFP	Extracellular
AGA	Extracellular
AGAP1	Cytoplasm
AGAP4	Cell_membrane
AGAP5	Cell_membrane
AGAP6	Cell_membrane
AGBL1	Cytoplasm
AGBL4	Cytoplasm
AGBL5	Cytoplasm
AGFG1	Nucleus
AGK	Mitochondrion
AGL	Cytoplasm
AGMAT	Mitochondrion
AGMO	Endoplasmic_reticulum
AGO1	Cytoplasm
AGO2	Cytoplasm
AGO3	Cytoplasm
AGO4	Cytoplasm
AGPAT1	Endoplasmic_reticulum
AGPAT2	Endoplasmic_reticulum
AGPAT3	Endoplasmic_reticulum
AGPAT4	Endoplasmic_reticulum
AGPAT5	Endoplasmic_reticulum
AGPS	Cytoplasm
AGR2	Extracellular
AGR3	Endoplasmic_reticulum
AGRP	Extracellular
AGT	Endoplasmic_reticulum
AGTPBP1	Nucleus
AGTR1	Cell_membrane
AGTR2	Cell_membrane
AGXT	Peroxisome
AGXT2	Mitochondrion
AHCYL1	Cytoplasm
AHDC1	Nucleus
AHI1	Nucleus
AHNAK	Cytoplasm
AHNAK2	Cytoplasm
AHR	Nucleus
AHRR	Nucleus
AHSA1	Cytoplasm
AHSP	Cytoplasm
AICDA	Mitochondrion
AIF1L	Cytoplasm
AIFM2	Peroxisome
AIFM3	Mitochondrion
AIG1	Endoplasmic_reticulum
AIM2	Cytoplasm
AIMP1	Cytoplasm
AIMP2	Cytoplasm
AIPL1	Cytoplasm
AJAP1	Cell_membrane
AK1	Cytoplasm
AK3	Mitochondrion
AK4	Mitochondrion
AK5	Cytoplasm
AK6	Cytoplasm
AK7	Cytoplasm
AK8	Cytoplasm
AK9	Nucleus
AKAIN1	Nucleus
AKAP1	Golgi_apparatus
AKAP10	Cytoplasm
AKAP11	Cytoplasm
AKAP12	Nucleus
AKAP14	Cytoplasm
AKAP2	Nucleus
AKAP3	Cytoplasm
AKAP4	Cytoplasm
AKAP5	Nucleus
AKAP8	Nucleus
AKIRIN1	Nucleus
AKIRIN2	Nucleus
AKR1A1	Cytoplasm
AKR1B1	Cytoplasm
AKR1B10	Cytoplasm
AKR1C1	Cytoplasm
AKR1C2	Cytoplasm
AKR1C4	Cytoplasm
AKR1D1	Cytoplasm
AKR1E2	Cytoplasm
AKR7A2	Mitochondrion
AKR7A3	Mitochondrion
AKT1	Cytoplasm
AKT1S1	Nucleus
AKT2	Cytoplasm
AKT3	Cytoplasm
AKTIP	Cytoplasm
ALAD	Cytoplasm
ALAS1	Mitochondrion
ALB	Extracellular
ALDH16A1	Peroxisome
ALDH18A1	Mitochondrion
ALDH1A1	Cytoplasm
ALDH1A3	Cytoplasm
ALDH1L1	Cytoplasm
ALDH1L2	Mitochondrion
ALDH2	Mitochondrion
ALDH3A1	Cytoplasm
ALDH3A2	Endoplasmic_reticulum
ALDH3B1	Cell_membrane
ALDH3B2	Endoplasmic_reticulum
ALDH5A1	Mitochondrion
ALDH6A1	Mitochondrion
ALDH8A1	Cytoplasm
ALDOB	Cytoplasm
ALDOC	Cytoplasm
ALG10	Endoplasmic_reticulum
ALG10B	Endoplasmic_reticulum
ALG11	Endoplasmic_reticulum
ALG12	Endoplasmic_reticulum
ALG14	Endoplasmic_reticulum
ALG1L	Cytoplasm
ALG1L2	Cytoplasm
ALG3	Endoplasmic_reticulum
ALG5	Endoplasmic_reticulum
ALG8	Endoplasmic_reticulum
ALG9	Endoplasmic_reticulum
ALK	Cell_membrane
ALKAL1	Extracellular
ALKAL2	Extracellular
ALKBH1	Mitochondrion
ALKBH2	Nucleus
ALKBH3	Nucleus
ALKBH5	Nucleus
ALKBH6	Cytoplasm
ALKBH7	Mitochondrion
ALOX12	Mitochondrion
ALOX12B	Cytoplasm
ALOX15	Mitochondrion
ALOX15B	Cytoplasm
ALOX5	Cytoplasm
ALOX5AP	Endoplasmic_reticulum
ALPI	Extracellular
ALPK1	Cytoplasm
ALPK2	Cytoplasm
ALPK3	Cytoplasm
ALPP	Extracellular
ALPPL2	Extracellular
ALS2CR12	Cytoplasm
ALX1	Nucleus
ALX3	Nucleus
ALX4	Nucleus
AMACR	Mitochondrion
AMBN	Extracellular
AMBP	Extracellular
AMBRA1	Cytoplasm
AMD1	Cytoplasm
AMDHD1	Cytoplasm
AMELX	Extracellular
AMELY	Extracellular
AMER1	Nucleus
AMER2	Nucleus
AMER3	Nucleus
AMFR	Endoplasmic_reticulum
AMH	Extracellular
AMHR2	Cell_membrane
AMIGO1	Cell_membrane
AMIGO2	Cell_membrane
AMIGO3	Cell_membrane
AMMECR1L	Nucleus
AMN	Cell_membrane
AMOT	Cytoplasm
AMOTL1	Cytoplasm
AMOTL2	Cytoplasm
AMPD1	Endoplasmic_reticulum
AMPH	Cytoplasm
AMT	Mitochondrion
AMTN	Extracellular
AMY1A	Extracellular
AMY1B	Extracellular
AMY1C	Extracellular
AMY2A	Extracellular
AMY2B	Extracellular
AMZ1	Nucleus
ANAPC1	Cytoplasm
ANAPC10	Cytoplasm
ANAPC11	Extracellular
ANAPC13	Nucleus
ANAPC15	Nucleus
ANAPC16	Cytoplasm
ANAPC2	Nucleus
ANG	Extracellular
ANGEL1	Mitochondrion
ANGPT1	Extracellular
ANGPT2	Extracellular
ANGPT4	Extracellular
ANGPTL1	Extracellular
ANGPTL2	Extracellular
ANGPTL3	Extracellular
ANGPTL5	Extracellular
ANGPTL6	Extracellular
ANGPTL7	Extracellular
ANGPTL8	Extracellular
ANHX	Nucleus
ANK2	Cytoplasm
ANK3	Cytoplasm
ANKAR	Cytoplasm
ANKDD1A	Cytoplasm
ANKDD1B	Endoplasmic_reticulum
ANKEF1	Cytoplasm
ANKFN1	Mitochondrion
ANKFY1	Cytoplasm
ANKHD1	Cytoplasm
ANKIB1	Nucleus
ANKK1	Cytoplasm
ANKMY2	Nucleus
ANKRA2	Cytoplasm
ANKRD1	Nucleus
ANKRD11	Nucleus
ANKRD12	Nucleus
ANKRD13A	Cytoplasm
ANKRD13B	Cytoplasm
ANKRD13D	Cytoplasm
ANKRD16	Cytoplasm
ANKRD17	Cytoplasm
ANKRD18A	Cytoplasm
ANKRD18B	Cytoplasm
ANKRD2	Cytoplasm
ANKRD20A1	Cytoplasm
ANKRD20A2	Cytoplasm
ANKRD20A3	Cytoplasm
ANKRD20A4	Cytoplasm
ANKRD20A8P	Cytoplasm
ANKRD22	Cell_membrane
ANKRD23	Nucleus
ANKRD24	Cytoplasm
ANKRD27	Cytoplasm
ANKRD28	Cytoplasm
ANKRD29	Peroxisome
ANKRD30A	Cytoplasm
ANKRD30B	Cytoplasm
ANKRD30BL	Cytoplasm
ANKRD31	Nucleus
ANKRD33	Cytoplasm
ANKRD33B	Nucleus
ANKRD34A	Cytoplasm
ANKRD34B	Nucleus
ANKRD34C	Cytoplasm
ANKRD36	Cytoplasm
ANKRD36B	Cytoplasm
ANKRD37	Nucleus
ANKRD39	Cytoplasm
ANKRD40	Cytoplasm
ANKRD42	Cytoplasm
ANKRD44	Cytoplasm
ANKRD46	Endoplasmic_reticulum
ANKRD49	Cytoplasm
ANKRD50	Cytoplasm
ANKRD52	Cytoplasm
ANKRD53	Cytoplasm
ANKRD6	Cytoplasm
ANKRD60	Nucleus
ANKRD61	Mitochondrion
ANKRD62	Cytoplasm
ANKRD63	Cytoplasm
ANKRD66	Mitochondrion
ANKRD7	Nucleus
ANKRD9	Nucleus
ANKS1A	Cytoplasm
ANKS3	Cytoplasm
ANKS4B	Cytoplasm
ANKS6	Cytoplasm
ANKZF1	Nucleus
ANLN	Nucleus
ANO1	Cell_membrane
ANO3	Cell_membrane
ANO4	Cell_membrane
ANO5	Cell_membrane
ANO6	Cell_membrane
ANO8	Cell_membrane
ANOS1	Extracellular
ANP32A	Nucleus
ANP32B	Nucleus
ANP32D	Cytoplasm
ANP32E	Nucleus
ANPEP	Endoplasmic_reticulum
ANTXRL	Cell_membrane
ANXA1	Cytoplasm
ANXA10	Cytoplasm
ANXA11	Cytoplasm
ANXA13	Cell_membrane
ANXA2	Cytoplasm
ANXA2R	Cell_membrane
ANXA3	Cytoplasm
ANXA5	Cytoplasm
ANXA6	Cytoplasm
ANXA7	Cytoplasm
ANXA8	Cytoplasm
ANXA9	Cytoplasm
AOAH	Extracellular
AOC1	Extracellular
AOX1	Cytoplasm
AP1AR	Cell_membrane
AP1G1	Cytoplasm
AP1G2	Cytoplasm
AP1M1	Cytoplasm
AP1M2	Cytoplasm
AP1S1	Cytoplasm
AP1S2	Cytoplasm
AP2A1	Cytoplasm
AP2A2	Cytoplasm
AP2B1	Cytoplasm
AP2M1	Cytoplasm
AP2S1	Cytoplasm
AP3B1	Nucleus
AP3D1	Nucleus
AP3M1	Cytoplasm
AP3M2	Cytoplasm
AP3S1	Cytoplasm
AP4B1	Golgi_apparatus
AP4E1	Cytoplasm
AP4M1	Cytoplasm
AP4S1	Cytoplasm
AP5B1	Peroxisome
AP5S1	Mitochondrion
AP5Z1	Cytoplasm
APAF1	Cytoplasm
APBA1	Cytoplasm
APBA2	Nucleus
APBA3	Nucleus
APBB2	Cytoplasm
APC	Cytoplasm
APC2	Cytoplasm
APCDD1	Cell_membrane
APCDD1L	Cell_membrane
APCS	Extracellular
APEH	Cytoplasm
APELA	Extracellular
APEX1	Nucleus
APEX2	Cytoplasm
APH1A	Golgi_apparatus
APIP	Cytoplasm
APLF	Nucleus
APLN	Extracellular
APLNR	Cell_membrane
APOA1	Extracellular
APOA2	Extracellular
APOA5	Extracellular
APOBEC1	Cytoplasm
APOBEC2	Cytoplasm
APOBEC3A	Cytoplasm
APOBEC3B	Cytoplasm
APOBEC3C	Mitochondrion
APOBEC3D	Nucleus
APOBEC3G	Mitochondrion
APOBEC4	Nucleus
APOBR	Cytoplasm
APOC1	Extracellular
APOC2	Extracellular
APOC3	Extracellular
APOC4	Extracellular
APOD	Extracellular
APOE	Extracellular
APOF	Endoplasmic_reticulum
APOH	Extracellular
APOL4	Peroxisome
APOL5	Peroxisome
APOL6	Endoplasmic_reticulum
APOLD1	Mitochondrion
APOO	Mitochondrion
APOOL	Mitochondrion
APOPT1	Mitochondrion
APPBP2	Cytoplasm
APPL1	Cytoplasm
APPL2	Cytoplasm
APRT	Cytoplasm
AQP10	Cell_membrane
AQP11	Endoplasmic_reticulum
AQP12A	Endoplasmic_reticulum
AQP12B	Endoplasmic_reticulum
AQP2	Cell_membrane
AQP3	Cell_membrane
AQP4	Cell_membrane
AQP5	Cell_membrane
AQP6	Cell_membrane
AQP8	Cell_membrane
AQP9	Cell_membrane
AQR	Nucleus
AR	Nucleus
ARAF	Cytoplasm
ARAP1	Cytoplasm
ARAP2	Cytoplasm
ARAP3	Cytoplasm
ARC	Cytoplasm
ARCN1	Cytoplasm
AREG	Cell_membrane
AREL1	Cytoplasm
ARF1	Golgi_apparatus
ARF3	Golgi_apparatus
ARF4	Golgi_apparatus
ARF5	Golgi_apparatus
ARF6	Golgi_apparatus
ARFGAP3	Golgi_apparatus
ARFGEF1	Cytoplasm
ARFGEF2	Cytoplasm
ARFGEF3	Cytoplasm
ARFIP1	Cytoplasm
ARG1	Cytoplasm
ARG2	Mitochondrion
ARGFX	Nucleus
ARGLU1	Nucleus
ARHGAP1	Cytoplasm
ARHGAP10	Cytoplasm
ARHGAP11A	Nucleus
ARHGAP11B	Mitochondrion
ARHGAP12	Cytoplasm
ARHGAP15	Cytoplasm
ARHGAP18	Cytoplasm
ARHGAP20	Cytoplasm
ARHGAP26	Cytoplasm
ARHGAP27	Nucleus
ARHGAP31	Cytoplasm
ARHGAP35	Cytoplasm
ARHGAP39	Cytoplasm
ARHGAP4	Cytoplasm
ARHGAP40	Cytoplasm
ARHGAP42	Cytoplasm
ARHGAP44	Cytoplasm
ARHGAP8	Cytoplasm
ARHGDIA	Cytoplasm
ARHGDIB	Cytoplasm
ARHGDIG	Cytoplasm
ARHGEF1	Cytoplasm
ARHGEF10	Cytoplasm
ARHGEF11	Cytoplasm
ARHGEF12	Cytoplasm
ARHGEF15	Cytoplasm
ARHGEF16	Cytoplasm
ARHGEF17	Cytoplasm
ARHGEF18	Cytoplasm
ARHGEF19	Cytoplasm
ARHGEF2	Cytoplasm
ARHGEF28	Cytoplasm
ARHGEF35	Cytoplasm
ARHGEF37	Cytoplasm
ARHGEF4	Cytoplasm
ARHGEF40	Cytoplasm
ARHGEF6	Cytoplasm
ARHGEF7	Cytoplasm
ARHGEF9	Cytoplasm
ARID1A	Cytoplasm
ARID2	Cytoplasm
ARID3A	Nucleus
ARID3B	Nucleus
ARID3C	Nucleus
ARID4A	Nucleus
ARID4B	Nucleus
ARID5A	Nucleus
ARIH1	Nucleus
ARIH2	Nucleus
ARIH2OS	Nucleus
ARL10	Endoplasmic_reticulum
ARL11	Cell_membrane
ARL13A	Cell_membrane
ARL14	Cell_membrane
ARL14EP	Nucleus
ARL14EPL	Nucleus
ARL15	Cytoplasm
ARL16	Mitochondrion
ARL17A	Golgi_apparatus
ARL17B	Golgi_apparatus
ARL2	Cytoplasm
ARL2BP	Cytoplasm
ARL3	Cytoplasm
ARL4A	Nucleus
ARL4C	Cytoplasm
ARL4D	Cytoplasm
ARL5B	Golgi_apparatus
ARL5C	Golgi_apparatus
ARL6	Cytoplasm
ARL6IP1	Endoplasmic_reticulum
ARL6IP4	Nucleus
ARL6IP5	Cell_membrane
ARL6IP6	Cell_membrane
ARL8A	Lysosome/Vacuole
ARL8B	Golgi_apparatus
ARMC1	Nucleus
ARMC10	Mitochondrion
ARMC12	Mitochondrion
ARMC2	Cytoplasm
ARMC3	Cytoplasm
ARMC4	Cytoplasm
ARMC5	Cytoplasm
ARMC6	Cytoplasm
ARMC8	Cytoplasm
ARMCX1	Mitochondrion
ARMCX2	Mitochondrion
ARMCX3	Mitochondrion
ARMCX4	Mitochondrion
ARMCX5	Cytoplasm
ARMCX6	Endoplasmic_reticulum
ARMS2	Cytoplasm
ARMT1	Cytoplasm
ARNT	Nucleus
ARNT2	Nucleus
ARNTL	Nucleus
ARNTL2	Nucleus
ARPC1B	Cytoplasm
ARPC2	Cytoplasm
ARPC3	Cytoplasm
ARPC5	Nucleus
ARPC5L	Nucleus
ARPIN	Mitochondrion
ARPP19	Cytoplasm
ARR3	Cytoplasm
ARRB1	Nucleus
ARRB2	Cytoplasm
ARRDC1	Nucleus
ARRDC3	Cytoplasm
ARRDC4	Cytoplasm
ARRDC5	Cytoplasm
ARSB	Endoplasmic_reticulum
ARSD	Cell_membrane
ARSE	Cell_membrane
ARSF	Cell_membrane
ARSG	Extracellular
ARSH	Endoplasmic_reticulum
ARSJ	Endoplasmic_reticulum
ARSK	Extracellular
ART1	Endoplasmic_reticulum
ART3	Cell_membrane
ART5	Extracellular
ARV1	Endoplasmic_reticulum
ARVCF	Cytoplasm
ARX	Nucleus
AS3MT	Cytoplasm
ASAH2	Cell_membrane
ASAH2B	Mitochondrion
ASAP1	Cytoplasm
ASAP2	Cytoplasm
ASAP3	Cytoplasm
ASB1	Cytoplasm
ASB13	Cytoplasm
ASB15	Cytoplasm
ASB16	Cytoplasm
ASB17	Cytoplasm
ASB18	Cytoplasm
ASB2	Cytoplasm
ASB3	Cytoplasm
ASB4	Cytoplasm
ASB6	Mitochondrion
ASB8	Cytoplasm
ASB9	Cytoplasm
ASCL1	Nucleus
ASCL2	Nucleus
ASF1A	Cytoplasm
ASF1B	Cytoplasm
ASGR2	Cell_membrane
ASH1L	Nucleus
ASH2L	Nucleus
ASIC1	Cell_membrane
ASIC2	Cell_membrane
ASIC3	Cell_membrane
ASIC4	Cell_membrane
ASIC5	Cell_membrane
ASIP	Extracellular
ASL	Cytoplasm
ASMT	Cytoplasm
ASNA1	Cytoplasm
ASNS	Cytoplasm
ASNSD1	Cytoplasm
ASPA	Cytoplasm
ASPG	Peroxisome
ASPH	Endoplasmic_reticulum
ASPHD1	Cell_membrane
ASPHD2	Cell_membrane
ASPM	Nucleus
ASPN	Extracellular
ASPRV1	Cell_membrane
ASRGL1	Cytoplasm
ASS1	Cytoplasm
ASTL	Extracellular
ASXL2	Nucleus
ASXL3	Nucleus
ASZ1	Mitochondrion
ATAD1	Mitochondrion
ATAD2	Nucleus
ATAD3A	Cytoplasm
ATAD3C	Cytoplasm
ATAD5	Nucleus
ATCAY	Nucleus
ATE1	Nucleus
ATF1	Nucleus
ATF2	Nucleus
ATF3	Nucleus
ATF4	Nucleus
ATF5	Nucleus
ATF6	Nucleus
ATF6B	Nucleus
ATF7IP	Nucleus
ATF7IP2	Nucleus
ATG101	Cytoplasm
ATG12	Cytoplasm
ATG13	Cytoplasm
ATG14	Nucleus
ATG2B	Cytoplasm
ATG3	Cytoplasm
ATG4C	Cytoplasm
ATG7	Cytoplasm
ATG9A	Cell_membrane
ATIC	Cytoplasm
ATL1	Endoplasmic_reticulum
ATL2	Endoplasmic_reticulum
ATL3	Endoplasmic_reticulum
ATM	Cytoplasm
ATMIN	Nucleus
ATN1	Nucleus
ATOH1	Nucleus
ATOH7	Nucleus
ATOH8	Nucleus
ATOX1	Cytoplasm
ATP10B	Cell_membrane
ATP10D	Cell_membrane
ATP11A	Endoplasmic_reticulum
ATP11B	Endoplasmic_reticulum
ATP12A	Cell_membrane
ATP13A2	Cell_membrane
ATP13A3	Cell_membrane
ATP13A5	Cell_membrane
ATP1A1	Cell_membrane
ATP1A2	Cell_membrane
ATP1A3	Cell_membrane
ATP1B1	Golgi_apparatus
ATP1B2	Cell_membrane
ATP1B4	Nucleus
ATP23	Nucleus
ATP2A1	Endoplasmic_reticulum
ATP2A3	Cell_membrane
ATP2B2	Cell_membrane
ATP2B3	Cell_membrane
ATP2C1	Cell_membrane
ATP4A	Cell_membrane
ATP4B	Cell_membrane
ATP5B	Mitochondrion
ATP5C1	Mitochondrion
ATP5D	Mitochondrion
ATP5E	Mitochondrion
ATP5EP2	Mitochondrion
ATP5F1	Mitochondrion
ATP5G3	Mitochondrion
ATP5H	Mitochondrion
ATP5I	Mitochondrion
ATP5J	Mitochondrion
ATP5J2	Mitochondrion
ATP5L	Mitochondrion
ATP5L2	Mitochondrion
ATP5O	Mitochondrion
ATP6AP1	Endoplasmic_reticulum
ATP6AP1L	Mitochondrion
ATP6AP2	Endoplasmic_reticulum
ATP6V0A1	Lysosome/Vacuole
ATP6V0A2	Lysosome/Vacuole
ATP6V0A4	Lysosome/Vacuole
ATP6V0B	Lysosome/Vacuole
ATP6V0C	Lysosome/Vacuole
ATP6V0D1	Cytoplasm
ATP6V0D2	Lysosome/Vacuole
ATP6V0E1	Golgi_apparatus
ATP6V1A	Cytoplasm
ATP6V1B1	Cytoplasm
ATP6V1B2	Mitochondrion
ATP6V1C1	Cytoplasm
ATP6V1C2	Cytoplasm
ATP6V1D	Cytoplasm
ATP6V1E1	Cytoplasm
ATP6V1E2	Cytoplasm
ATP6V1F	Cytoplasm
ATP6V1G1	Nucleus
ATP6V1G2	Nucleus
ATP6V1H	Cytoplasm
ATP8A1	Cell_membrane
ATP8B1	Cell_membrane
ATP8B3	Cell_membrane
ATP8B4	Cell_membrane
ATP9A	Endoplasmic_reticulum
ATP9B	Cell_membrane
ATPAF2	Mitochondrion
ATPIF1	Mitochondrion
ATR	Cytoplasm
ATRAID	Cell_membrane
ATXN1	Nucleus
ATXN10	Cytoplasm
ATXN1L	Nucleus
ATXN2L	Cytoplasm
ATXN3L	Cytoplasm
ATXN7	Nucleus
ATXN7L1	Nucleus
ATXN7L2	Nucleus
ATXN7L3	Nucleus
ATXN7L3B	Mitochondrion
AUH	Mitochondrion
AUNIP	Nucleus
AURKAIP1	Mitochondrion
AURKB	Cytoplasm
